RESP_FINAL;filename;A1R;A2R;L*(D65);a*(D65);b*(D65);C*(D65);h(D65);Image_SkinCluster;DE2000_centroid_1;DE76_centroid_1;DE2000_centroid_2;DE76_centroid_2;DE2000_centroid_3;DE76_centroid_3;DE2000_centroid_4;DE76_centroid_4;DE2000_centroid_5;DE76_centroid_5;DE2000_centroid_6;DE76_centroid_6;closest_centroid_DE2000;closest_centroid_Euclidean;two_closest_clusters_DE2000;two_close_deltaE_DE2000;single_cluster;eval_cluster
2018;201803_81.jpg;1;1;63.6133333333333;11.9833333333333;18.9583333333333;22.4283333333333;57.7066666666667;1;3.30825640235984;5.05465709354583;4.24295404122375;5.19908245109974;4.34879657289772;4.99138507831243;10.4389728232567;12.2818561979314;17.1568352220166;18.0107215754024;25.9265797841803;26.3652168269736;1;3;[];FAUX;FAUX;3
3122;312203_81.jpg;2;4;63.65;11.3216666666667;21.2616666666667;24.1316666666667;61.925;4;4.00483605994407;6.62036294741879;5.85750559184155;7.43483729180105;4.13345196833755;5.26667563290376;11.1035122037842;13.4993520420632;17.3162781473405;18.2722578122014;26.205683668139;26.9594307350054;1;3;[1. 3];VRAI;FAUX;3
4194;419403_81.jpg;2;2;63.6766666666667;10.4866666666667;15.8666666666667;19.0283333333333;56.55;1;2.46755398765904;3.01095776567301;3.84323202352311;4.15682170253508;4.57890163461273;5.54921616086452;10.1128185330787;11.2668288942956;17.2883162653694;18.339665573105;25.8343973534708;25.93532661577;1;1;[];FAUX;FAUX;1
4016;401603_81.jpg;1;1;63.7033333333333;11.7466666666667;18.2183333333333;21.68;57.19;1;3.02548363684544;4.41572474232712;4.03334979093795;4.73360944030381;4.44251649640245;5.03248033610996;10.3838172084527;12.0304028056698;17.2293483941278;18.1017151581464;25.9605199459451;26.299296410107;1;1;[];FAUX;FAUX;1
3022;302203_81.jpg;1;1;63.7133333333333;10.5316666666667;16.6566666666667;19.7316666666667;57.7133333333333;3;2.47852992588237;3.17274197921398;4.13804611613771;4.44862806566998;4.37715234761636;5.18219950085546;10.2540524156009;11.5021878353642;17.2929399099846;18.2750930230191;25.9090639772069;26.0574786129945;1;1;[];FAUX;FAUX;1
1078;107803_81.jpg;2;2;63.73;10.975;19.22;22.1383333333333;60.2216666666667;3;3.15092276518248;4.81487538779561;5.03926332047932;5.86344821755936;4.08245333835957;4.73686869144585;10.7090018691546;12.4837944952647;17.3007157722089;18.1769861363208;26.0952720826251;26.5123730548587;1;3;[];FAUX;FAUX;3
4177;417703_81.jpg;1;1;63.7316666666667;11.985;17.0616666666667;20.8616666666667;54.9683333333333;1;2.9859808958055;3.93723641093033;3.34353642227046;3.82611603181201;4.85146912355747;5.4571449087921;10.200930665728;11.6500571052487;17.2697793061829;18.1801768571033;25.9134747494989;26.1500649563672;1;2;[1. 2];VRAI;FAUX;1
4172;417203_81.jpg;1;1;63.7516666666667;11.66;16.955;20.605;55.6483333333333;1;2.82220804234196;3.70254342010701;3.5002775287129;3.9287310645777;4.74741989083292;5.38676103465195;10.2171383778896;11.6179815133458;17.2877232058644;18.2159461583648;25.9290344984034;26.1435083295601;1;1;[];FAUX;FAUX;3
1066;106603_81.jpg;2;2;63.8316666666667;11.2683333333333;18.41;21.5916666666667;58.3883333333333;3;2.86367838055354;4.25825146692342;4.47854967013766;5.15162487851056;4.3308452461316;4.95172080078117;10.5711651853492;12.2138734869637;17.3495006069649;18.2467231456926;26.1075251918453;26.4495438944081;1;1;[];FAUX;FAUX;1
4057;405703_81.jpg;2;2;63.8466666666667;12.565;19.6583333333333;23.3333333333333;57.4283333333333;1;3.51995548990023;5.69835405085441;4.40423600621519;5.75201752044928;4.6731073138361;5.51747879218598;10.725991977976;12.8680718144648;17.3548483301664;18.2766728980474;26.1873645748946;26.7780296553391;1;3;[];FAUX;FAUX;3
2003;200303_81.jpg;1;1;63.8983333333333;8.805;14.35;16.8366666666667;58.46;1;2.37802096803991;3.06449470186811;4.89081577167263;5.51540821497174;4.91646633711777;6.70013142491333;10.4232295185279;11.4765526666814;17.6671706792128;19.061685683882;26.0790896358576;26.1374315451572;1;1;[];FAUX;VRAI;1
