RESP_FINAL;filename;eval_cluster;single_cluster;Image_SkinCluster
4239;423903_81.jpg;3;FAUX;3
3150;315003_81.jpg;3;FAUX;4
3137;313703_81.jpg;4;FAUX;4
3146;314603_81.jpg;3;FAUX;4
4075;407503_81.jpg;4;FAUX;2
2088;208803_81.jpg;4;FAUX;3
2078;207803_81.jpg;4;FAUX;3
1126;112603_81.jpg;4;FAUX;4
4260;426003_81.jpg;3;VRAI;3
2157;215703_81.jpg;4;FAUX;2
2170;217003_81.jpg;3;FAUX;3
2203;220303_81.jpg;3;FAUX;3
4115;411503_81.jpg;4;FAUX;3
4250;425003_81.jpg;2;FAUX;2
3187;318703_81.jpg;3;FAUX;4
3035;303503_81.jpg;2;FAUX;2
2178;217803_81.jpg;3;VRAI;3
2162;216203_81.jpg;3;FAUX;4
2137;213703_81.jpg;4;FAUX;2
4141;414103_81.jpg;3;FAUX;3
3094;309403_81.jpg;4;FAUX;4
4235;423503_81.jpg;3;FAUX;3
2007;200703_81.jpg;3;FAUX;3
4142;414203_81.jpg;3;VRAI;1
4164;416403_81.jpg;3;FAUX;3
1122;112203_81.jpg;3;VRAI;4
4226;422603_81.jpg;3;FAUX;3
4252;425203_81.jpg;2;FAUX;1
2116;211603_81.jpg;2;FAUX;2
3046;304603_81.jpg;3;FAUX;4
4229;422903_81.jpg;3;FAUX;1
3128;312803_81.jpg;3;FAUX;4
1085;108503_81.jpg;4;FAUX;4
1051;105103_81.jpg;2;FAUX;2
3061;306103_81.jpg;3;FAUX;4
4205;420503_81.jpg;3;VRAI;3
3199;319903_81.jpg;3;VRAI;3
3008;300803_81.jpg;2;FAUX;3
2015;201503_81.jpg;3;VRAI;1
1048;104803_81.jpg;2;FAUX;2
2112;211203_81.jpg;2;FAUX;1
2043;204303_81.jpg;2;FAUX;3
2156;215603_81.jpg;3;VRAI;3
1069;106903_81.jpg;2;FAUX;2
4152;415203_81.jpg;3;FAUX;3
1105;110503_81.jpg;3;VRAI;4
4082;408203_81.jpg;3;VRAI;3
1125;112503_81.jpg;3;VRAI;4
4127;412703_81.jpg;3;FAUX;1
3190;319003_81.jpg;2;FAUX;4
4068;406803_81.jpg;2;FAUX;3
1089;108903_81.jpg;3;FAUX;4
4102;410203_81.jpg;2;FAUX;2
4243;424303_81.jpg;3;FAUX;3
3014;301403_81.jpg;2;FAUX;4
3125;312503_81.jpg;3;FAUX;4
4040;404003_81.jpg;2;VRAI;2
3104;310403_81.jpg;2;FAUX;4
3144;314403_81.jpg;3;VRAI;4
4156;415603_81.jpg;3;FAUX;3
2033;203303_81.jpg;3;VRAI;3
1052;105203_81.jpg;4;FAUX;2
1112;111203_81.jpg;2;FAUX;2
4150;415003_81.jpg;3;VRAI;3
2057;205703_81.jpg;2;VRAI;2
3126;312603_81.jpg;3;VRAI;4
3108;310803_81.jpg;3;FAUX;2
4131;413103_81.jpg;3;FAUX;3
1084;108403_81.jpg;3;VRAI;4
2155;215503_81.jpg;3;FAUX;3
4091;409103_81.jpg;3;FAUX;1
1053;105303_81.jpg;2;FAUX;2
3058;305803_81.jpg;3;FAUX;4
1111;111103_81.jpg;3;FAUX;2
3157;315703_81.jpg;3;FAUX;4
3050;305003_81.jpg;2;FAUX;4
4224;422403_81.jpg;2;FAUX;2
2060;206003_81.jpg;2;VRAI;2
1123;112303_81.jpg;3;FAUX;4
1097;109703_81.jpg;4;FAUX;2
2099;209903_81.jpg;3;VRAI;3
4059;405903_81.jpg;2;FAUX;1
2058;205803_81.jpg;2;FAUX;3
2031;203103_81.jpg;3;FAUX;3
4228;422803_81.jpg;3;VRAI;3
2051;205103_81.jpg;3;FAUX;1
2189;218903_81.jpg;2;FAUX;1
4123;412303_81.jpg;3;FAUX;3
2038;203803_81.jpg;2;FAUX;1
1087;108703_81.jpg;3;VRAI;4
2115;211503_81.jpg;3;VRAI;3
3074;307403_81.jpg;2;VRAI;2
1070;107003_81.jpg;3;FAUX;4
4233;423303_81.jpg;3;VRAI;3
3113;311303_81.jpg;3;FAUX;4
4244;424403_81.jpg;3;FAUX;3
2126;212603_81.jpg;4;FAUX;2
3070;307003_81.jpg;3;FAUX;4
4084;408403_81.jpg;4;FAUX;3
2181;218103_81.jpg;3;VRAI;3
1065;106503_81.jpg;3;VRAI;4
2188;218803_81.jpg;3;FAUX;1
4153;415303_81.jpg;3;VRAI;3
3059;305903_81.jpg;3;FAUX;4
3013;301303_81.jpg;2;VRAI;2
2017;201703_81.jpg;3;VRAI;3
2094;209403_81.jpg;3;FAUX;3
4147;414703_81.jpg;3;FAUX;1
4232;423203_81.jpg;2;VRAI;3
4176;417603_81.jpg;2;FAUX;1
2040;204003_81.jpg;2;FAUX;2
4074;407403_81.jpg;3;FAUX;1
1133;113303_81.jpg;3;FAUX;2
1003;100303_81.jpg;2;FAUX;2
2111;211103_81.jpg;2;VRAI;1
2022;202203_81.jpg;2;FAUX;1
4101;410103_81.jpg;3;FAUX;3
2056;205603_81.jpg;3;FAUX;3
1047;104703_81.jpg;2;VRAI;2
3153;315303_81.jpg;3;VRAI;3
1061;106103_81.jpg;2;FAUX;3
3065;306503_81.jpg;2;FAUX;3
3042;304203_81.jpg;3;VRAI;4
4257;425703_81.jpg;3;FAUX;3
3002;300203_81.jpg;2;VRAI;2
4110;411003_81.jpg;3;VRAI;3
1049;104903_81.jpg;2;FAUX;4
2122;212203_81.jpg;2;FAUX;1
2185;218503_81.jpg;2;VRAI;2
2024;202403_81.jpg;3;VRAI;3
4133;413303_81.jpg;3;FAUX;1
1088;108803_81.jpg;2;FAUX;2
4225;422503_81.jpg;2;VRAI;3
1098;109803_81.jpg;3;VRAI;3
4246;424603_81.jpg;2;FAUX;1
2083;208303_81.jpg;2;FAUX;1
3011;301103_81.jpg;2;VRAI;2
2071;207103_81.jpg;3;FAUX;1
2081;208103_81.jpg;2;VRAI;2
1001;100103_81.jpg;2;VRAI;2
4098;409803_81.jpg;3;FAUX;3
3111;311103_81.jpg;2;FAUX;3
3081;308103_81.jpg;3;VRAI;4
2055;205503_81.jpg;3;FAUX;3
2107;210703_81.jpg;3;FAUX;3
4140;414003_81.jpg;3;FAUX;3
2069;206903_81.jpg;2;VRAI;2
2164;216403_81.jpg;3;VRAI;3
2061;206103_81.jpg;3;FAUX;1
2009;200903_81.jpg;2;VRAI;2
3101;310103_81.jpg;2;VRAI;4
2134;213403_81.jpg;3;FAUX;1
4093;409303_81.jpg;3;VRAI;3
2063;206303_81.jpg;3;FAUX;1
4114;411403_81.jpg;3;FAUX;1
4122;412203_81.jpg;3;VRAI;1
3127;312703_81.jpg;3;VRAI;4
4125;412503_81.jpg;2;FAUX;3
3015;301503_81.jpg;2;VRAI;2
3079;307903_81.jpg;3;VRAI;4
3114;311403_81.jpg;3;FAUX;4
3096;309603_81.jpg;3;FAUX;4
3129;312903_81.jpg;2;VRAI;2
1077;107703_81.jpg;3;VRAI;4
4053;405303_81.jpg;3;FAUX;3
2098;209803_81.jpg;2;VRAI;2
2124;212403_81.jpg;2;VRAI;1
2152;215203_81.jpg;4;FAUX;2
1099;109903_81.jpg;2;VRAI;2
1096;109603_81.jpg;4;FAUX;4
3109;310903_81.jpg;2;FAUX;4
4249;424903_81.jpg;3;FAUX;1
